"year","month","passengers"
2004,"Oct.",358362
2004,"Nov.",327593
2004,"Dec.",326933
2003,"Jan.",290140
2003,"Feb.",323264
2003,"Mar.",295052
2003,"Apr.",144082
2003,"May",47333
2003,"Jun.",94294
2003,"Jul.",272784
2003,"Aug.",333840
2003,"Sep.",295447
2003,"Oct.",291193
2003,"Nov.",268282
2003,"Dec.",249855
2002,"Jan.",268783
2002,"Feb.",323654
2002,"Mar.",360668
2002,"Apr.",380648
2002,"May",359547
2002,"Jun.",326508
2002,"Jul.",388061
2002,"Aug.",384719
2002,"Sep.",334029
2002,"Oct.",372706
2002,"Nov.",350324
2002,"Dec.",322056
2001,"Jan.",265603
2001,"Feb.",249259
2001,"Mar.",312319
2001,"Apr.",351793
2001,"May",338692
2001,"Jun.",332630
2001,"Jul.",344658
2001,"Aug.",360899
2001,"Sep.",291817
2001,"Oct.",327232
2001,"Nov.",315538
2001,"Dec.",314866
2000,"Jan.",184381
2000,"Feb.",264066
2000,"Mar.",226483
2000,"Apr.",296541
2000,"May",288949
2000,"Jun.",271181
2000,"Jul.",304276
2000,"Aug.",300418
2000,"Sep.",280803
2000,"Oct.",298873
2000,"Nov.",265528
2000,"Dec.",257929
1999,"Jan.",161264
1999,"Feb.",209569
1999,"Mar.",186965
1999,"Apr.",237449
1999,"May",230691
1999,"Jun.",231328
1999,"Jul.",243534
1999,"Aug.",257616
1999,"Sep.",210885
1999,"Oct.",231251
1999,"Nov.",228637
1999,"Dec.",210922
1998,"Jan.",161432
1998,"Feb.",168777
1998,"Mar.",172060
1998,"Apr.",180241
1998,"May",172391
1998,"Jun.",157519
1998,"Jul.",205595
1998,"Aug.",241140
1998,"Sep.",183954
1998,"Oct.",205726
1998,"Nov.",181677
1998,"Dec.",183975
1997,"Jan.",117984
1997,"Feb.",150772
1997,"Mar.",149795
1997,"Apr.",179049
1997,"May",189925
1997,"Jun.",175402
1997,"Jul.",173103
1997,"Aug.",178118
1997,"Sep.",163385
1997,"Oct.",176879
1997,"Nov.",146804
1997,"Dec.",151362
1996,"Jan.",35410
1996,"Feb.",61640
1996,"Mar.",62539
1996,"Apr.",86912
1996,"May",112799
1996,"Jun.",125964
1996,"Jul.",117888
1996,"Aug.",146056
1996,"Sep.",126394
1996,"Oct.",148447
1996,"Nov.",137272
1996,"Dec.",139615
1995,"Jan.",NA
1995,"Feb.",NA
1995,"Mar.",NA
1995,"Apr.",NA
1995,"May",NA
1995,"Jun.",NA
1995,"Jul.",NA
1995,"Aug.",NA
1995,"Sep.",NA
1995,"Oct.",NA
1995,"Nov.",6601
1995,"Dec.",37041
